Categoria,Subcategoria,Actividad
"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.",A.2.1.5. Producción pecuaria sostenible basada en buenas prácticas para mejorar la productividad ante los impactos del cambio climático. Economía azul sostenible: Clasifica si se usa agua de mar u otros recursos marinos como suplemento en la dieta.
"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.",A.2.1.6. Medidas basadas en tecnología que impulse la productividad de una agricultura inteligente ante el cambio climático. Economía azul sostenible: Clasifica cuando se trate de tecnologías que empleen agua de mar o recursos genéticos marinos para una agricultura más resiliente al cambio climático.
"A.2. Agricultura, uso de la tierra, actividad pecuaria, pesca, maricultura o acuicultura","A.2.1. Medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental.","A.2.1.7. Otras medidas que contribuyen al mantenimiento o mejora de la productividad de los sistemas agrícolas, pecuarios, pesqueros, de la maricultura o en la acuicultura marina o continental. Economía azul sostenible: Clasifica cuando se trate de otras medidas que contribuyan a mantener o mejorar de manera sostenible la productividad de la pesca marina o maricultura sostenible."
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,"A.3.1.1. Mejora de la gestión de pendientes en las cuencas para adaptarse al aumento de la erosión del suelo causada por las inundaciones debido al exceso de lluvias. Economía azul sostenible: Clasifica cuando genere un impacto positivo sobre la zona marino-costera, como, por ejemplo: mitigar la sedimentación, disminuir la contaminación, y/o reducir procesos erosivos en la costa."
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,"A.3.1.2. Plantación y/o restauración ecológica de manglares, pastos marinos, corales y/o vegetación costera nativa para construir una barrera natural para adaptarse al aumento de la erosión costera y/o limitar la intrusión de agua salada en los suelos causados por el aumento del nivel del mar. La actividad siempre clasifica como economía azul sostenible."
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,"A.3.1.3. Restauración y gestión integral de cuencas y subcuencas hidrográficas. Economía azul sostenible: Cuando genere un impacto positivo sobre la zona marino-costera, como, por ejemplo: mitigar la sedimentación, disminuir la contaminación, y/o reducir procesos erosivos en la costa."
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.4. Recuperación y/o reforestación de bosques urbanos que cumplen funciones vitales para la sostenibilidad y contribuyen a la mitigación del riesgo climático. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.5. Jardines filtrantes en cuerpos de agua urbanos para reducir el riesgo de inundaciones. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.6. Inversión en cobertura vegetal para el control de erosión de suelos y reducción del riesgo climático por deslizamientos. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.7. Plantaciones forestales con planes de manejo certificados (i.e. aforestación y reforestación) que contribuyan a mitigar riesgo ante impactos del clima. Economía azul sostenible: Clasifican cuando se trate de plantaciones forestales con especies nativas adaptadas a ambientes marino-costeros.
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.8. Conservación y/o recarga de acuíferos o humedales. Economía azul sostenible: Clasifican cuando se trate de acuíferos o humedales costeros.
A.3. Adaptación basada en ecosistemas,A.3.1. Uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático.,A.3.1.9. Otras actividades con uso de la biodiversidad y los servicios ecosistémicos para reducir la vulnerabilidad y el riesgo físico climático. Economía azul sostenible: Clasifica si trata de biodiversidad o servicios ecosistémicos marino costeros.
A.4. Infraestructura resiliente para la adaptación de la población frente eventos adversos del cambio climático,"A.4.1. Construcción, mantenimiento o rehabilitación de infraestructura para fortalecer la resiliencia de poblaciones costeras o insulares ante impactos del cambio climático.","A.4.1.1. Construcción, mantenimiento o rehabilitación de infraestructura verde o gris, construida con consideraciones de riesgo climático, que fortalezca la resiliencia climática de las comunidades costeras o insulares. La actividad siempre clasifica como economía azul sostenible."
A.4. Infraestructura resiliente para la adaptación de la población frente eventos adversos del cambio climático,"A.4.1. Construcción, mantenimiento o rehabilitación de infraestructura para fortalecer la resiliencia de poblaciones costeras o insulares ante impactos del cambio climático.","A.4.1.2. Construcción, mantenimiento o rehabilitación de infraestructura verde o gris, construida con consideraciones de riesgo climático, que contribuya con la sostenibilidad de sectores productivos o actividades económicas asociadas al mar. La actividad siempre clasifica como economía azul sostenible."
A.4. Infraestructura resiliente para la adaptación de la población frente eventos adversos del cambio climático,"A.4.2. Construcción, mantenimiento y rehabilitación de infraestructura para fortalecer la resiliencia de poblaciones continentales.","A.4.2.1. Construcción, mantenimiento o rehabilitación de infraestructura verde o gris, construida con consideraciones de riesgo climático, que fortalezca la resiliencia climática de las comunidades. "
A.4. Infraestructura resiliente para la adaptación de la población frente eventos adversos del cambio climático,"A.4.3. Construcción, mantenimiento y rehabilitación de infraestructura vial resiliente que mitiga el riesgo climático de comunidades.","A.4.3.1. Construcción, mantenimiento o rehabilitación de caminos, carreteras, o puentes resilientes, que mejoran la inclusión y conectividad de comunidades rurales y vulnerables a centros urbanos, facilitando el acceso a lugares de trabajo, centros de educativos y de salud, así como el tránsito a otras zonas en caso de eventos extremos del clima. Economía azul sostenible: Clasifica si mejora la inclusión y conectividad de comunidades costeras vulnerables al cambio climático."
A.4. Infraestructura resiliente para la adaptación de la población frente eventos adversos del cambio climático,"A.4.3. Construcción, mantenimiento y rehabilitación de infraestructura vial resiliente que mitiga el riesgo climático de comunidades.","A.4.3.2. Proyectos de transporte o de infraestructura vial resiliente que contribuyan en la dimensión del acceso de la seguridad alimentaria y nutricional (SAN), al mejorar o garantizar adecuados canales de distribución de alimentos desde zonas rurales de producción a centros urbanos. Economía azul sostenible: Clasifica cuando contribuye a la seguridad alimentaria y nutricional de comunidades costeras a partir de cadenas de valor asociadas a la pesca o maricultura."
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,"A.5.1. Construcción, mantenimiento o rehabilitación de infraestructura social resiliente.","A.5.1.1. Construcción, mantenimiento o rehabilitación de hospitales o centros de salud, que garanticen la sostenibilidad del acceso al servicio médico a comunidades vulnerables en zonas de medio o alto riesgo climático8."
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,"A.5.1. Construcción, mantenimiento o rehabilitación de infraestructura social resiliente.","A.5.1.2. Construcción, mantenimiento o rehabilitación de centros educativos resilientes al cambio climático, que transformen positivamente las condiciones de los espacios educativos de nivel preescolar o básico, facilitando el acceso, permanencia y calidad educativa a comunidades vulnerables en zonas de medio o alto riesgo climático."
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,"A.5.1. Construcción, mantenimiento o rehabilitación de infraestructura social resiliente.",A.5.1.3. Construcción de infraestructura resiliente que permite el acceso al servicio básico de electricidad a comunidades y/o a zonas no interconectadas.
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,"A.5.1. Construcción, mantenimiento o rehabilitación de infraestructura social resiliente.","A.5.1.4. Otras actividades de construcción, mantenimiento o rehabilitación de infraestructura social resiliente."
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,A.5.2. Inversión en tecnología e investigación para mejorar los servicios sociales brindados a comunidades vulnerables.,"A.5.2.1. Sistemas de telemedicina que aumenten la cobertura, la gobernanza, la equidad y la eficiencia del servicio público de salud, mejorando el diagnóstico y un sistema de atención y seguimiento 24/7 de pacientes de comunidades vulnerables en zonas con medio o alto riesgo climático."
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,A.5.2. Inversión en tecnología e investigación para mejorar los servicios sociales brindados a comunidades vulnerables.,"A.5.2.2. Inversión en investigación para la innovación en el área de salud, con el fin de prevenir y mitigar casos de enfermedades causadas o agravadas por el cambio climático."
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,A.5.2. Inversión en tecnología e investigación para mejorar los servicios sociales brindados a comunidades vulnerables.,A.5.2.3. Transformación digital que promueva la “tecnología educativa” en comunidades vulnerables. 
A.5. Infraestructura social resiliente o sistemas para la dotación de servicios sociales que brindan a la población mayor capacidad adaptativa o reducen su sensibilidad ante los impactos del cambio climático,A.5.2. Inversión en tecnología e investigación para mejorar los servicios sociales brindados a comunidades vulnerables.,A.5.2.4. Otras inversiones en tecnología y transformación digital que fortalezcan la resiliencia climática de comunidades vulnerables.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,A.6.1.1. Planes Nacionales de Adaptación; Planes Locales de Adaptación; y/o Planes Nacionales Sectoriales de Adaptación.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,"A.6.1.2. Políticas, planes y estrategias para la prevención y gestión del riesgo de desastres ante eventos climáticos extremos."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,A.6.1.3. Evaluaciones de riesgos climáticos y/o vulnerabilidad climática a nivel territorial o sectorial.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,A.6.1.4. Coordinación interinstitucional para el cumplimiento de compromisos climáticos e implementación de medidas y/o proyectos para la resiliencia.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,"A.6.1.5. Sistemas de alerta temprana, de monitoreo, o plataformas que permitan la mejor gestión, preparación, y fortalezcan la resiliencia ante fenómenos hidrometeorológicos extremos y cambios en los patrones climáticos."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,"A.6.1.6. Desarrollo de Protocolos Verdes; Taxonomías Nacionales Verdes o Sostenibles; diseño o estructuración de instrumentos financieros innovadores, activos ambientales entre otros; sistemas para la exposición de los Riesgos Sistémicos Climáticos en las carteras de las instituciones financieras; u otras herramientas que contribuyan al fortalecimiento de Sistemas Financieros Sostenibles."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,"A.6.1.7. Inversiones en transformación digital, abordando el desarrollo o combinación de avances (como, por ejemplo, el Internet de las Cosas, la robotización o la inteligencia artificial) que permitan aplicar soluciones innovadoras y eficientes para la adaptación climática."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.1. Fortalecimiento Institucional.,A.6.1.8. Otras actividades de fortalecimiento institucional para la adaptación climática.
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.",A.6.2.1. Apoyo presupuestario específico a las autoridades nacionales o locales para la aplicación de la política de adaptación al cambio climático.
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.","A.6.2.2. Seguros y otras medidas de protección financiera orientados a mitigar la pérdida y daños causados por los fenómenos asociados o detonados por el clima, particularmente eventos hidrometeorológicos extremos."
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.","A.6.2.3. Pagos por servicios ecosistémicos (conservación de fuentes de agua, bosques y biodiversidad)."
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.",A.6.2.4. Acciones orientadas a incrementar la participación del sector privado en procesos de inversiones o financiamiento climático en diferentes sectores.
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.","A.6.2.5. Líneas de crédito o fondos gestionados a partir de la banca de desarrollo nacional u otro tipo de instituciones con capacidad fiduciaria, con el fin de beneficiar a pequeños y medianos productores vulnerables ante el cambio climático."
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.",A.6.2.6. Líneas de Crédito para la gestión del riesgo de desastres climáticos.
A.6. Otros temas que fortalecen la capacidad adaptativa,"A.6.2. Apoyo presupuestario, incentivos y compensación.","A.6.2.7. Otras actividades de apoyo presupuestario, incentivos y compensación y mercados de activos ambientales."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,"A.6.3.1. Adaptación y resiliencia de infraestructuras, sistemas socioeconómicos y ecosistemas."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,A.6.3.2. Enfoque de resiliencia climática en cualquier campo de la gestión pública.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,A.6.3.3. Cadenas de valor resilientes en sistemas productivos.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,A.6.3.4. Componentes de adaptación en diversos tipos de proyectos y sectores para que aporten a la resiliencia.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,"A.6.3.5. Conservación o recuperación de patrimonios culturales englobados en saberes tradicionales o ancestrales; expresión de la creatividad, valores, creencias, entre otros."
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,A.6.3.6. Financiamiento y/o instrumentos financieros para la adaptación al cambio climático.
A.6. Otros temas que fortalecen la capacidad adaptativa,A.6.3. Capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.,A.6.3.7. Otros temas destinados a reforzar capacidades y gestión del conocimiento sobre el riesgo climático y la adaptación.
B.1. Sostenibilidad y protección de los recursos hídricos,"B.1.1. Conservación del agua. Economía azul sostenible: Clasifica cuando la acción se realiza en el mar, lagunas costeras, ciénagas o estuarios.","B.1.1.1. Restauración y gestión integral de cuencas, subcuencas hidrográficas."
B.1. Sostenibilidad y protección de los recursos hídricos,"B.1.1. Conservación del agua. Economía azul sostenible: Clasifica cuando la acción se realiza en el mar, lagunas costeras, ciénagas o estuarios.","B.1.1.2. Inversión en remediación, recuperación y/o descontaminación de cuerpos de agua superficiales o subterráneos."
B.1. Sostenibilidad y protección de los recursos hídricos,"B.1.1. Conservación del agua. Economía azul sostenible: Clasifica cuando la acción se realiza en el mar, lagunas costeras, ciénagas o estuarios.",B.1.1.3. Monitoreo y control de calidad de aguas.
B.1. Sostenibilidad y protección de los recursos hídricos,"B.1.1. Conservación del agua. Economía azul sostenible: Clasifica cuando la acción se realiza en el mar, lagunas costeras, ciénagas o estuarios.","B.1.1.4. Restauración de acuíferos, humedales, páramos o permafrost."
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.2. Suministro de agua.,"B.1.2.1. Dotación, distribución de agua o expansión de la red que demuestren una evaluación de capacidad de la fuente y de ser necesario considere medidas compensatorias para la recarga de acuíferos. Economía azul sostenible: Clasifica cuando la fuente de capacitación sea el mar o pozos costaneros, y se implementan procesos de desalinización o equivalentes."
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.2. Suministro de agua.,B.1.2.2. Reducción de pérdidas en sistemas de distribución y almacenamiento.
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.2. Suministro de agua.,B.1.2.3. Modernización y eficiencia en sistemas de irrigación y drenaje agrícola.
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.3. Aguas residuales. Economía azul sostenible: Clasifica si la gestión de las aguas residuales contribuye a prevenir o mitigar la contaminación marina.,B.1.3.1. Plantas de tratamiento de aguas residuales con estándares de efluente que garanticen la salud de ecosistemas en el cuerpo de agua receptor.
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.3. Aguas residuales. Economía azul sostenible: Clasifica si la gestión de las aguas residuales contribuye a prevenir o mitigar la contaminación marina.,"B.1.3.2. Captación, conducción y mejora de la calidad de las aguas residuales en zonas urbanas o rurales."
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.3. Aguas residuales. Economía azul sostenible: Clasifica si la gestión de las aguas residuales contribuye a prevenir o mitigar la contaminación marina.,"B.1.3.3. Sistemas drenajes sostenibles, como jardines filtrantes en cuerpos de agua para reducir la carga contaminante."
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.3. Aguas residuales. Economía azul sostenible: Clasifica si la gestión de las aguas residuales contribuye a prevenir o mitigar la contaminación marina.,"B.1.3.4. Innovación tecnológica o de gestión en el ciclo de las aguas residuales, como el reúso de aguas tratadas o la recarga de acuíferos."
B.1. Sostenibilidad y protección de los recursos hídricos,B.1.3. Aguas residuales. Economía azul sostenible: Clasifica si la gestión de las aguas residuales contribuye a prevenir o mitigar la contaminación marina.,"B.1.3.5. Monitoreo, control de calidad de aguas."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,B.2.1.1. Conservación de bosques y otros ecosistemas estratégicos terrestres.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,B.2.1.2. Recuperación de ecosistemas estratégicos terrestres degradados previamente por actividades productivas u otros usos.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,"B.2.1.3. Remediación de suelos sobreexplotados (e.g. agropecuario, minería u otras causas). Descontaminación de suelos de materiales tóxicos (i.e. fuera de lo exigido por ley, resultado de compensación por vertidos irregulares)."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,"B.2.1.4. Reforestación o arborización urbana orientada a mejorar calidad del aire, salud ambiental o regular la temperatura."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,"B.2.1.5. Monitoreo, control y vigilancia de ecosistemas estratégicos (e.g. monitoreo de factores que inciden en la pérdida de biodiversidad como deforestación, incendios, invasión de especies introducidas, entre otros)."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,B.2.1.6. Restauración de áreas degradadas (suelos degradados) y/o regeneración de la fertilidad del suelo.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,"B.2.1.7. Ecoturismo o turismo de impacto neutro o positivo en biodiversidad de áreas protegidas, que promueva beneficios a comunidades locales."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.1. Conservación y restauración de ecosistemas estratégicos terrestres.,B.2.1.8. Inversión en cobertura vegetal para el control de erosión de suelos y reducción de desastres por deslizamientos.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,"B.2.2. Agricultura, forestal y otros usos sostenibles del suelo.",B.2.2.1. Plantaciones forestales con planes de manejo certificados (i.e. aforestación y reforestación).
B.2. Protección y restauración de la biodiversidad y los ecosistemas,"B.2.2. Agricultura, forestal y otros usos sostenibles del suelo.","B.2.2.2. Ecoeficiencia en la cadena de valor de los productos del bosque, tanto maderables como no maderables."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,"B.2.2. Agricultura, forestal y otros usos sostenibles del suelo.",B.2.2.3. Implementación de usos mixtos de agroforestería y/o agro-silvo-pastoriles. Producción pecuaria sostenible.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,"B.2.2. Agricultura, forestal y otros usos sostenibles del suelo.",B.2.2.4. Agricultura local y huertos urbanos.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,"B.2.2. Agricultura, forestal y otros usos sostenibles del suelo.",B.2.2.5. Nivelación de suelos para la optimización del uso del agua en la agricultura bajo riego.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.3. Ecosistemas marinos costeros. Siempre califican como economía azul sostenible.,B.2.3.1. Prevención de vertimientos/ contaminación al océano o a otros ecosistemas marinos.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.3. Ecosistemas marinos costeros. Siempre califican como economía azul sostenible.,"B.2.3.2. Conservación y/o restauración de manglares, pastos marinos y/o arrecifes de coral. Siempre califican como economía azul sostenible."
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.3. Ecosistemas marinos costeros. Siempre califican como economía azul sostenible.,B.2.3.3. Ecoturismo costero y/ marino.
B.2. Protección y restauración de la biodiversidad y los ecosistemas,B.2.3. Ecosistemas marinos costeros. Siempre califican como economía azul sostenible.,B.2.3.4. Industria pesquera y acuicultura.
B.3. Prevención y control de la contaminación,B.3.1. Aire.,B.3.1.1.Inversión en instalaciones nuevas o existentes de sistemas de tratamiento o filtración de emisiones. Sistema de lavadores de gases /tratamiento para control de contaminación del aire.
B.3. Prevención y control de la contaminación,B.3.1. Aire.,B.3.1.2. Estaciones de monitoreo de la calidad del aire.
B.3. Prevención y control de la contaminación,B.3.2. Control de la contaminación industrial. Economía azul sostenible: Clasifica cuando genere un impacto positivo sobre el océano o ecosistema costero.,"B.3.2.1. Reducción de contaminantes líquidos, sólidos y atmosféricos de la industria."
B.3. Prevención y control de la contaminación,B.3.3. Gestión de Residuos. Economía azul sostenible: Clasifica cuando genere un impacto positivo sobre el océano o ecosistema costero.,"B.3.3.1. Sistemas de recolección, transporte, transferencia, clasificación, reciclaje, reúso o disposición final de residuos sólidos. "
B.3. Prevención y control de la contaminación,B.3.3. Gestión de Residuos. Economía azul sostenible: Clasifica cuando genere un impacto positivo sobre el océano o ecosistema costero.,B.3.3.2. Sistemas de recolección de residuos plásticos en océanos u otros cuerpos de agua receptor.
B.3. Prevención y control de la contaminación,B.3.3. Gestión de Residuos. Economía azul sostenible: Clasifica cuando genere un impacto positivo sobre el océano o ecosistema costero.,"B.3.3.3. Actividades de economía circular orientadas a la reducción, rediseño, reúso de materiales/residuos (i.e. construcción, infraestructura, procesos industriales, entre otros)."
B.4. Otros temas transversales de medio ambiente y biodiversidad,B.4.1. Fortalecimiento Institucional.,"B.4.1.1. Manejo sostenible de recursos naturales (e.g. ecosistemas, recursos hídricos, bosques, suelos, recursos pesqueros, biodiversidad, etc.)."
B.4. Otros temas transversales de medio ambiente y biodiversidad,B.4.1. Fortalecimiento Institucional.,B.4.1.2. Ordenamiento territorial y planificación urbana orientada al uso sostenible de recursos y energía.
B.4. Otros temas transversales de medio ambiente y biodiversidad,B.4.1. Fortalecimiento Institucional.,B.4.1.3. Otros temas de protección de recursos naturales y conservación de la biodiversidad. 
B.4. Otros temas transversales de medio ambiente y biodiversidad,B.4.1. Fortalecimiento Institucional.,B.4.1.4. Apoyo presupuestario específico a las autoridades nacionales o locales para la aplicación de política de puesta en valor del capital natural o conservación de la biodiversidad.
